62,5.9,3,4.2,1.5,Iris-versicolor
4,4.6,3.1,1.5,0.2,Iris-setosa
115,5.8,2.8,5.1,2.4,Iris-virginica
66,6.7,3.1,4.4,1.4,Iris-versicolor
36,5,3.2,1.2,0.2,Iris-setosa
103,7.1,3,5.9,2.1,Iris-virginica
22,5.1,3.7,1.5,0.4,Iris-setosa
60,5.2,2.7,3.9,1.4,Iris-versicolor
139,6,3,4.8,1.8,Iris-virginica
86,6,3.4,4.5,1.6,Iris-versicolor
37,5.5,3.5,1.3,0.2,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
59,6.6,2.9,4.6,1.3,Iris-versicolor
11,5.4,3.7,1.5,0.2,Iris-setosa
18,5.1,3.5,1.4,0.3,Iris-setosa
136,7.7,3,6.1,2.3,Iris-virginica
72,6.1,2.8,4,1.3,Iris-versicolor
31,4.8,3.1,1.6,0.2,Iris-setosa
74,6.1,2.8,4.7,1.2,Iris-versicolor
21,5.4,3.4,1.7,0.2,Iris-setosa
135,6.1,2.6,5.6,1.4,Iris-virginica
73,6.3,2.5,4.9,1.5,Iris-versicolor
120,6,2.2,5,1.5,Iris-virginica
108,7.3,2.9,6.3,1.8,Iris-virginica
87,6.7,3.1,4.7,1.5,Iris-versicolor
14,4.3,3,1.1,0.1,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
83,5.8,2.7,3.9,1.2,Iris-versicolor
147,6.3,2.5,5,1.9,Iris-virginica
141,6.7,3.1,5.6,2.4,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
93,5.8,2.6,4,1.2,Iris-versicolor
15,5.8,4,1.2,0.2,Iris-setosa
130,7.2,3,5.8,1.6,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
29,5.2,3.4,1.4,0.2,Iris-setosa
41,5,3.5,1.3,0.3,Iris-setosa
119,7.7,2.6,6.9,2.3,Iris-virginica
81,5.5,2.4,3.8,1.1,Iris-versicolor
16,5.7,4.4,1.5,0.4,Iris-setosa
149,6.2,3.4,5.4,2.3,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
78,6.7,3,5,1.7,Iris-versicolor
127,6.2,2.8,4.8,1.8,Iris-virginica
58,4.9,2.4,3.3,1,Iris-versicolor
150,5.9,3,5.1,1.8,Iris-virginica
92,6.1,3,4.6,1.4,Iris-versicolor
122,5.6,2.8,4.9,2,Iris-virginica
55,6.5,2.8,4.6,1.5,Iris-versicolor
26,5,3,1.6,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
63,6,2.2,4,1,Iris-versicolor
43,4.4,3.2,1.3,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
138,6.4,3.1,5.5,1.8,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
131,7.4,2.8,6.1,1.9,Iris-virginica
64,6.1,2.9,4.7,1.4,Iris-versicolor
89,5.6,3,4.1,1.3,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
77,6.8,2.8,4.8,1.4,Iris-versicolor
132,7.9,3.8,6.4,2,Iris-virginica
76,6.6,3,4.4,1.4,Iris-versicolor
104,6.3,2.9,5.6,1.8,Iris-virginica
109,6.7,2.5,5.8,1.8,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
91,5.5,2.6,4.4,1.2,Iris-versicolor
112,6.4,2.7,5.3,1.9,Iris-virginica
46,4.8,3,1.4,0.3,Iris-setosa
94,5,2.3,3.3,1,Iris-versicolor
68,5.8,2.7,4.1,1,Iris-versicolor
28,5.2,3.5,1.5,0.2,Iris-setosa
140,6.9,3.1,5.4,2.1,Iris-virginica
54,5.5,2.3,4,1.3,Iris-versicolor
34,5.5,4.2,1.4,0.2,Iris-setosa
144,6.8,3.2,5.9,2.3,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
9,4.4,2.9,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
71,5.9,3.2,4.8,1.8,Iris-versicolor
17,5.4,3.9,1.3,0.4,Iris-setosa
1,5.1,3.5,1.4,0.2,Iris-setosa
148,6.5,3,5.2,2,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
47,5.1,3.8,1.6,0.2,Iris-setosa
142,6.9,3.1,5.1,2.3,Iris-virginica
10,4.9,3.1,1.5,0.1,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
111,6.5,3.2,5.1,2,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
85,5.4,3,4.5,1.5,Iris-versicolor
8,5,3.4,1.5,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
2,4.9,3,1.4,0.2,Iris-setosa
114,5.7,2.5,5,2,Iris-virginica
80,5.7,2.6,3.5,1,Iris-versicolor
110,7.2,3.6,6.1,2.5,Iris-virginica
82,5.5,2.4,3.7,1,Iris-versicolor
27,5,3.4,1.6,0.4,Iris-setosa
121,6.9,3.2,5.7,2.3,Iris-virginica
52,6.4,3.2,4.5,1.5,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
99,5.1,2.5,3,1.1,Iris-versicolor
45,5.1,3.8,1.9,0.4,Iris-setosa
67,5.6,3,4.5,1.5,Iris-versicolor
126,7.2,3.2,6,1.8,Iris-virginica
90,5.5,2.5,4,1.3,Iris-versicolor
13,4.8,3,1.4,0.1,Iris-setosa
56,5.7,2.8,4.5,1.3,Iris-versicolor
101,6.3,3.3,6,2.5,Iris-virginica
75,6.4,2.9,4.3,1.3,Iris-versicolor
102,5.8,2.7,5.1,1.9,Iris-virginica
123,7.7,2.8,6.7,2,Iris-virginica
128,6.1,3,4.9,1.8,Iris-virginica
53,6.9,3.1,4.9,1.5,Iris-versicolor
145,6.7,3.3,5.7,2.5,Iris-virginica
20,5.1,3.8,1.5,0.3,Iris-setosa
146,6.7,3,5.2,2.3,Iris-virginica
61,5,2,3.5,1,Iris-versicolor
88,6.3,2.3,4.4,1.3,Iris-versicolor
3,4.7,3.2,1.3,0.2,Iris-setosa
51,7,3.2,4.7,1.4,Iris-versicolor
39,4.4,3,1.3,0.2,Iris-setosa
65,5.6,2.9,3.6,1.3,Iris-versicolor
137,6.3,3.4,5.6,2.4,Iris-virginica
106,7.6,3,6.6,2.1,Iris-virginica
100,5.7,2.8,4.1,1.3,Iris-versicolor
107,4.9,2.5,4.5,1.7,Iris-virginica
33,5.2,4.1,1.5,0.1,Iris-setosa
129,6.4,2.8,5.6,2.1,Iris-virginica
44,5,3.5,1.6,0.6,Iris-setosa
49,5.3,3.7,1.5,0.2,Iris-setosa
143,5.8,2.7,5.1,1.9,Iris-virginica
57,6.3,3.3,4.7,1.6,Iris-versicolor
23,4.6,3.6,1,0.2,Iris-setosa
117,6.5,3,5.5,1.8,Iris-virginica
96,5.7,3,4.2,1.2,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
105,6.5,3,5.8,2.2,Iris-virginica
50,5,3.3,1.4,0.2,Iris-setosa
125,6.7,3.3,5.7,2.1,Iris-virginica
84,6,2.7,5.1,1.6,Iris-versicolor
113,6.8,3,5.5,2.1,Iris-virginica
79,6,2.9,4.5,1.5,Iris-versicolor
5,5,3.6,1.4,0.2,Iris-setosa
